iter	MultiClass
0	1.067803261
1	1.041855479
2	1.014235552
3	0.9921258977
4	0.9658730647
5	0.9438081455
6	0.9218267272
7	0.9006105899
8	0.8838205929
9	0.8628822909
10	0.8459608275
11	0.830898958
12	0.8191837756
13	0.8063123447
14	0.7958973445
15	0.78717951
16	0.7770573093
17	0.7709242221
18	0.7586947768
19	0.74547951
20	0.7345637753
21	0.7259648919
22	0.7187297211
23	0.7143334279
24	0.7083890438
25	0.7063160937
26	0.6993973272
27	0.6922530913
28	0.6844068655
29	0.6807732134
30	0.6736541164
31	0.6687374749
32	0.6625102772
33	0.6584796678
34	0.6543588167
35	0.6491846154
36	0.64730633
37	0.6451701153
38	0.6423973039
39	0.6393260558
40	0.6345211635
41	0.6325789512
42	0.6295778748
43	0.6284824558
44	0.6262670915
45	0.6226684585
46	0.6210048496
47	0.6193350224
48	0.6169601887
49	0.613756686
50	0.6135742246
51	0.6095159485
52	0.605472996
53	0.6021540702
54	0.6005064
55	0.5966830455
56	0.5963079429
57	0.5940370357
58	0.5920666901
59	0.5890584033
60	0.5877094453
61	0.5844319777
62	0.5840100436
63	0.5821309321
64	0.5797907084
65	0.5797694982
66	0.5778326863
67	0.5760216176
68	0.5741638982
69	0.5731696655
70	0.5720024286
71	0.5712668104
72	0.5689810178
73	0.5674707201
74	0.5657226215
75	0.5653410658
76	0.5645842644
77	0.563423716
78	0.5615825862
79	0.561118715
80	0.5605140715
81	0.5581470053
82	0.5567140801
83	0.5564065408
84	0.5555766319
85	0.5536798134
86	0.5526635979
87	0.5523177471
88	0.5515916756
89	0.5515050303
90	0.5502034535
91	0.5498143822
92	0.5487813584
93	0.5475456705
94	0.5470603195
95	0.5454953262
96	0.5443180144
97	0.5430525794
98	0.5426866589
99	0.5424328898
100	0.5424067358
101	0.5415027088
102	0.5409194144
103	0.540577235
104	0.5393443005
105	0.5383193496
106	0.538066327
107	0.5373686582
108	0.536320634
109	0.5361926859
110	0.5359598538
111	0.5358945844
112	0.535406542
113	0.5350019341
114	0.5344760863
115	0.5342328106
116	0.533654063
117	0.5331910269
118	0.5320230691
119	0.5316795023
120	0.5312513957
121	0.5306866831
122	0.5304804619
123	0.5303889973
124	0.5295000641
125	0.5287084487
126	0.5284464521
127	0.5273481921
128	0.5265241165
129	0.5261001646
130	0.5251684412
131	0.5248713316
132	0.5236870834
133	0.5232619559
134	0.5226714787
135	0.5224084877
136	0.5222857813
137	0.5218206484
138	0.5211174344
139	0.5210351916
140	0.5205546632
141	0.5198358289
142	0.5194960119
143	0.5185995018
144	0.5181176747
145	0.5180992834
146	0.5176402738
147	0.5176129508
148	0.5174686751
149	0.5160258286
150	0.5159611608
151	0.5156548332
152	0.5156397922
153	0.5154805616
154	0.5149795679
155	0.5132805953
156	0.5128496131
157	0.5123646573
158	0.5118843097
159	0.5116419749
160	0.5113283887
161	0.5112301816
162	0.5111480388
163	0.5109961879
164	0.5108110525
165	0.5102760826
166	0.5101353956
167	0.5096257865
168	0.509234305
169	0.5089850171
170	0.508909755
171	0.5086074881
172	0.5085482107
173	0.5083368025
